row,A,B,item
243,TAO'S NEW TYPE (CHAMPAGNE),,TAO'S NEW TYPE (CHAMPAGNE)
244,71301W CH,1 GANG 1 WAY SWITCH WIDE DOLLY,71301W CH + 1 GANG 1 WAY SWITCH WIDE DOLLY
245,71304WCH,2 GANG 2 WAY SWITCH WIDE DOLLY,71304WCH + 2 GANG 2 WAY SWITCH WIDE DOLLY
246,71306CH,3 GANG 2 WAY SWITCH,71306CH + 3 GANG 2 WAY SWITCH
247,71306WCH,3 GANG 2 WAY SWICTH WIDE DOLLY,71306WCH + 3 GANG 2 WAY SWICTH WIDE DOLLY
248,71313CH,INTERMEDIATE SWITCH,71313CH + INTERMEDIATE SWITCH
249,71317CH,DOOR BELL SWITCH,71317CH + DOOR BELL SWITCH
250,71324 CH,UNIVERSAL (WH & AC SWITCH),71324 CH + UNIVERSAL (WH & AC SWITCH)
251,71324AC CH,AIR CONDITION SWITCH,71324AC CH + AIR CONDITION SWITCH
252,71324WH CH,WATER HEATER SWITCH,71324WH CH + WATER HEATER SWITCH
253,71432 CH,TV SOCKET,71432 CH + TV SOCKET
254,71364 CH,4 GANG 2 WAY SWITCH,71364 CH + 4 GANG 2 WAY SWITCH
255,71364W CH,,71364W CH
256,71456 CH,13A SINGLE SOCKET + 2USB,71456 CH + 13A SINGLE SOCKET + 2USB
257,71405 CH,13A SINGLE SOCKET,71405 CH + 13A SINGLE SOCKET
258,71406 CH,13A DOUBLE SOCKET,71406 CH + 13A DOUBLE SOCKET
259,71487 CH,13A DOUBLE SOCKET + USB,71487 CH + 13A DOUBLE SOCKET + USB
261,TAO'S NEW TYPE (GREY),,TAO'S NEW TYPE (GREY)
262,71301 GR,1 GANG 1 WAY SWITCH,71301 GR + 1 GANG 1 WAY SWITCH
263,71301W GR,1 GANG 1 WAY SWITCH WIDE DOLLY,71301W GR + 1 GANG 1 WAY SWITCH WIDE DOLLY
264,71302W GR,1 GANG 2 WAY SWITCH WIDE DOLLY,71302W GR + 1 GANG 2 WAY SWITCH WIDE DOLLY
265,71304 GR,2 GANG 2 WAY SWITCH,71304 GR + 2 GANG 2 WAY SWITCH
266,71306 GR,,71306 GR
267,71317 GR,DOOR BELL SWITCH,71317 GR + DOOR BELL SWITCH
268,71432 GR,TV SOCKET,71432 GR + TV SOCKET
269,71405 GR,13A SINGLE SOCKET,71405 GR + 13A SINGLE SOCKET
270,71406 GR,13A DOUBLE SOCKET,71406 GR + 13A DOUBLE SOCKET
271,71456 GR,,71456 GR
272,71487 GR,13A DOUBLE SOCKET + USB,71487 GR + 13A DOUBLE SOCKET + USB
277,TAOS E-TYPE,,TAOS E-TYPE
278,E301,1 GANG 1 WAY SWITCH,E301 + 1 GANG 1 WAY SWITCH
279,E302,,E302
280,E304,2 GANG 2 WAY SWITCH,E304 + 2 GANG 2 WAY SWITCH
281,E306,3 GANG 2 WAY SWITCH,E306 + 3 GANG 2 WAY SWITCH
282,E317,DOOR BELL SWITCH,E317 + DOOR BELL SWITCH
283,E324,UNIVERSAL (WH & AC) SWITCH,E324 + UNIVERSAL (WH & AC) SWITCH
284,E327,45A 1 GANG SWITCH,E327 + 45A 1 GANG SWITCH
285,E432,TV SOCKET,E432 + TV SOCKET
286,E402,3/6 COVER PLATE,E402 + 3/6 COVER PLATE
287,E405,SINGLE SOCKET,E405 + SINGLE SOCKET
288,E302,1GANG 2WAY SWITCH,E302 + 1GANG 2WAY SWITCH
289,,JUNCTION BOX (80X50-RT),JUNCTION BOX (80X50-RT)
290,,JUNCTION BOX (85X85X50-SQ),JUNCTION BOX (85X85X50-SQ)
293,MK5423 WHI,,MK5423 WHI
294,MK2893 WHI,,MK2893 WHI
295,MK4878B WH,WATER HEATER SWITCH,MK4878B WH + WATER HEATER SWITCH
297,,MAIN SWITCH (SASSIN & ELITE ELEGANCE),MAIN SWITCH (SASSIN & ELITE ELEGANCE)
299,,SASSIN 4WAY SINGLE PHASE,SASSIN 4WAY SINGLE PHASE
300,,SASSIN 6WAY  SINGLE PHASE,SASSIN 6WAY  SINGLE PHASE
301,,SASSIN 8WAY  SINGLE PHASE,SASSIN 8WAY  SINGLE PHASE
302,,SASSIN 12WAY  SINGLE PHASE,SASSIN 12WAY  SINGLE PHASE
304,,SASSIN 4WAY 3PHASE,SASSIN 4WAY 3PHASE
